1446981098.893000, /muse/acc, 19.53128, 1003.90784, 132.81271
1446981099.031000, /muse/eeg, 858.67975, 876.77454, 773.14075, 248.39203
1446981099.031000, /muse/eeg/quantization, 1, 1, 16, 128
1446981099.032000, /muse/eeg, 820.8452, 878.4195, 799.46045, 458.94952
1446981099.032000, /muse/eeg, 825.78015, 832.36005, 825.78015, 880.06445
1446981099.032000, /muse/eeg, 886.6444, 837.295, 825.78015, 880.06445
1446981099.032000, /muse/eeg, 901.4492, 891.57935, 773.14075, 458.94952
1446981099.032000, /muse/eeg, 848.8099, 901.4492, 773.14075, 458.94952
1446981099.032000, /muse/eeg, 822.4902, 888.28937, 799.46045, 880.06445
1446981099.032000, /muse/eeg, 883.35443, 855.3898, 799.46045, 1090.622
1446981099.032000, /muse/eeg, 906.38416, 861.9697, 746.8211, 669.507
1446981099.032000, /muse/eeg, 878.4195, 893.2243, 746.8211, 458.94952
1446981099.033000, /muse/eeg, 822.4902, 888.28937, 773.14075, 669.507
1446981099.033000, /muse/eeg, 843.87494, 860.3247, 799.46045, 1090.622
1446981099.033000, /muse/eeg, 898.15924, 878.4195, 773.14075, 1090.622
1446981099.033000, /muse/elements/alpha_relative, nan, nan, nan, nan
1446981099.033000, /muse/elements/beta_relative, nan, nan, nan, nan
1446981099.033000, /muse/elements/delta_relative, nan, nan, nan, nan
1446981099.033000, /muse/elements/gamma_relative, nan, nan, nan, nan
1446981099.033000, /muse/elements/theta_relative, nan, nan, nan, nan
1446981099.033000, /muse/elements/horseshoe, 4.0, 4.0, 4.0, 4.0
1446981099.034000, /muse/elements/is_good, 0, 0, 0, 0
1446981099.034000, /muse/elements/blink, 0
1446981099.034000, /muse/elements/jaw_clench, 0
1446981099.034000, /muse/elements/touching_forehead, 0
1446981099.034000, /muse/elements/experimental/concentration, 0.0
1446981099.034000, /muse/elements/experimental/mellow, 0.0
